n_jobs,thread,process
1,0.6227352619171143,0.4192054271697998
2,0.7962877750396729,0.2561337947845459
3,0.8278391361236572,0.15142583847045898
4,0.8321692943572998,0.14131879806518555
5,0.8116016387939453,0.1486377716064453
6,0.8449995517730713,0.13695669174194336
7,0.8417508602142334,0.14577341079711914
8,0.8105077743530273,0.14786148071289062
